Index, Date, Time, Data 
00169, 2019-07-22, 12:14:32.137182, 81c319f338
00170, 2019-07-22, 12:14:32.247451, 016f6b0c2ac1fdf3de
00171, 2019-07-22, 12:14:32.357140, 016f72
00172, 2019-07-22, 12:14:32.467179, c2c1c5f2ee
00173, 2019-07-22, 12:14:32.577422, 016f780cadc34ff489
00174, 2019-07-22, 12:14:32.687502, 016f7e88c214f514
00175, 2019-07-22, 12:14:32.797442, 016f85bcc284f57e
00176, 2019-07-22, 12:14:32.907498, 016f8bdfc388f289
00177, 2019-07-22, 12:14:33.487381, 016f9206eec19af238
00178, 2019-07-22, 12:14:33.607499, 016f980b9bc298eee5
00179, 2019-07-22, 12:14:33.717420, 016f9f54c247f0e2
00180, 2019-07-22, 12:14:33.827308, 016fa5
00181, 2019-07-22, 12:14:33.937195, b3c396f374
00182, 2019-07-22, 12:14:34.047506, 016fab0b84bdebf361
00183, 2019-07-22, 12:14:34.157111, 016fb2
00184, 2019-07-22, 12:14:34.267170, f3c42df4bf
00185, 2019-07-22, 12:14:34.377474, 016fb80c98c379f31a
00186, 2019-07-22, 12:14:34.487096, 016fbf
00187, 2019-07-22, 12:14:34.597127, 9ec37bf2a0
00188, 2019-07-22, 12:14:34.707808, 016fc508bdc2c8f0ac
00189, 2019-07-22, 12:14:34.817334, 016fcc
00190, 2019-07-22, 12:14:34.927489, 08c447f208
00191, 2019-07-22, 12:14:35.037492, 016fd20be6c22ef26a
00192, 2019-07-22, 12:14:35.147417, 016fd80ba2c0c4f31d
00193, 2019-07-22, 12:14:35.267401, 016fdf0c13c26ef389
00194, 2019-07-22, 12:14:35.377491, 016fe50ca7c24af346
00195, 2019-07-22, 12:14:35.487556, 016fec0c26c237f36a
00196, 2019-07-22, 12:14:35.597017, 016ff2
00197, 2019-07-22, 12:14:35.707387, 8ec279f329
00198, 2019-07-22, 12:14:35.817027, 016ff9
